uniq_id,rank,iteration,distribution,mean,std,iterations,sleep_start,barrier_start,barrier_end,expected_sleep_nsec,actual_sleep_nsec
7d1bea60e09b7,3,6,gaussian,100000.000000,10000.000000,1000,1331240255,1422827811,1447843426,91582010,91587556
7d1bea60e09b7,13,7,gaussian,100000.000000,10000.000000,1000,1449148753,1550842433,1562984363,101690836,101693680
7d1bea60e09b7,8,7,gaussian,100000.000000,10000.000000,1000,1449501965,1542186028,1563339394,92675000,92684063
7d1bea60e09b7,10,7,gaussian,100000.000000,10000.000000,1000,1449505999,1528283093,1563343382,78767221,78777094
7d1bea60e09b7,9,7,gaussian,100000.000000,10000.000000,1000,1449117019,1551825846,1562956542,102701564,102708827
7d1bea60e09b7,15,7,gaussian,100000.000000,10000.000000,1000,1449445138,1552317565,1563285103,102864131,102872427
7d1bea60e09b7,14,7,gaussian,100000.000000,10000.000000,1000,1449508061,1558463942,1563344496,108944084,108955881
7d1bea60e09b7,12,7,gaussian,100000.000000,10000.000000,1000,1449465545,1541022057,1563302544,91543888,91556512
7d1bea60e09b7,11,7,gaussian,100000.000000,10000.000000,1000,1449121775,1554395522,1562962885,105264476,105273747
7d1bea60e09b7,2,7,gaussian,100000.000000,10000.000000,1000,1446567759,1528586450,1560401266,82016282,82018691
7d1bea60e09b7,6,7,gaussian,100000.000000,10000.000000,1000,1445321614,1540619859,1559154182,95295570,95298245
7d1bea60e09b7,7,7,gaussian,100000.000000,10000.000000,1000,1447592308,1560685402,1561428304,113087984,113093094
7d1bea60e09b7,1,7,gaussian,100000.000000,10000.000000,1000,1447480147,1549334897,1561315679,101846716,101854750
7d1bea60e09b7,5,7,gaussian,100000.000000,10000.000000,1000,1447703612,1561534648,1561538205,113823514,113831036
7d1bea60e09b7,0,7,gaussian,100000.000000,10000.000000,1000,1448017610,1532532940,1561851310,84509694,84515330
7d1bea60e09b7,4,7,gaussian,100000.000000,10000.000000,1000,1447119626,1542234337,1560952446,95110708,95114711
7d1bea60e09b7,3,7,gaussian,100000.000000,10000.000000,1000,1447844198,1549910216,1561681430,102060084,102066018
7d1bea60e09b7,13,8,gaussian,100000.000000,10000.000000,1000,1562984998,1667532396,1693090675,104544453,104547398
7d1bea60e09b7,8,8,gaussian,100000.000000,10000.000000,1000,1563340275,1669779062,1693446997,106428441,106438787
7d1bea60e09b7,10,8,gaussian,100000.000000,10000.000000,1000,1563343982,1670580859,1693451023,107223560,107236877
7d1bea60e09b7,9,8,gaussian,100000.000000,10000.000000,1000,1562957198,1662668871,1693063123,99704628,99711673
7d1bea60e09b7,15,8,gaussian,100000.000000,10000.000000,1000,1563285932,1665636842,1693391994,102342627,102350910
7d1bea60e09b7,14,8,gaussian,100000.000000,10000.000000,1000,1563345160,1648398469,1693452198,85044049,85053309
7d1bea60e09b7,12,8,gaussian,100000.000000,10000.000000,1000,1563303375,1664147670,1693410093,100830448,100844295
7d1bea60e09b7,11,8,gaussian,100000.000000,10000.000000,1000,1562963592,1653501868,1693069663,90530271,90538276
7d1bea60e09b7,2,8,gaussian,100000.000000,10000.000000,1000,1560401990,1676239128,1690508979,115833896,115837138
7d1bea60e09b7,6,8,gaussian,100000.000000,10000.000000,1000,1559154995,1667962503,1689261765,108804527,108807508
7d1bea60e09b7,7,8,gaussian,100000.000000,10000.000000,1000,1561428920,1655060525,1691535132,93627338,93631605
7d1bea60e09b7,1,8,gaussian,100000.000000,10000.000000,1000,1561316353,1675154586,1691422190,113829276,113838233
7d1bea60e09b7,5,8,gaussian,100000.000000,10000.000000,1000,1561538901,1649226834,1691644785,87682007,87687933
7d1bea60e09b7,0,8,gaussian,100000.000000,10000.000000,1000,1561852005,1653093668,1691958627,91235637,91241663
7d1bea60e09b7,4,8,gaussian,100000.000000,10000.000000,1000,1560953164,1691055531,1691059783,130096978,130102367
7d1bea60e09b7,3,8,gaussian,100000.000000,10000.000000,1000,1561682140,1656207641,1691788172,94519964,94525501
7d1bea60e09b7,13,9,gaussian,100000.000000,10000.000000,1000,1693091341,1798136005,1801433447,105041763,105044664
7d1bea60e09b7,8,9,gaussian,100000.000000,10000.000000,1000,1693447922,1784741520,1801781125,91284701,91293598
7d1bea60e09b7,10,9,gaussian,100000.000000,10000.000000,1000,1693451554,1783373458,1801783670,89910754,89921904
7d1bea60e09b7,9,9,gaussian,100000.000000,10000.000000,1000,1693064142,1789607489,1801404323,96536503,96543347
7d1bea60e09b7,15,9,gaussian,100000.000000,10000.000000,1000,1693392863,1779576315,1801733478,86176431,86183452
7d1bea60e09b7,14,9,gaussian,100000.000000,10000.000000,1000,1693453051,1800128842,1801786189,106664210,106675791
7d1bea60e09b7,12,9,gaussian,100000.000000,10000.000000,1000,1693410759,1783119793,1801740977,89696662,89709034
7d1bea60e09b7,11,9,gaussian,100000.000000,10000.000000,1000,1693070323,1780202586,1801405655,87124521,87132263
7d1bea60e09b7,2,9,gaussian,100000.000000,10000.000000,1000,1690509695,1791626499,1798839812,101113950,101116804
7d1bea60e09b7,6,9,gaussian,100000.000000,10000.000000,1000,1689262612,1778410704,1797593972,89145692,89148092
